gene_symbol	n_pair_gene_records	n_pair_definitions	n_phenotype_domains	pair_list	phenotype_domain_list	n_GeneA_records	n_GeneB_records	strict_positive_record_count	best_tissue_list	min_best_twas_p	min_best_twas_fdr
IL7R	12	12	4	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__L12_ATOPIC;NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA;NASAL_POLYPS_GCST90018883__L12_PSORIASIS	ENT_infection;asthma_lower_airway;atopic_allergic;autoimmune_IBD	2	10	10	Spleen	5.32e-08	1.596e-07
CD247	10	10	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA;ALLERGIC_RHINITIS_GCST90038664__M13_RHEUMA;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__M13_RHEUMA	asthma_lower_airway;atopic_allergic;autoimmune_IBD	6	4	5	Artery_Coronary	0.00247	0.00247
SPEF2	9	9	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__L12_ATOPIC;NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA	ENT_infection;asthma_lower_airway;atopic_allergic	2	7	9	Brain_Cerebellar_Hemisphere;Brain_Putamen_basal_ganglia	0.000906	0.001812
AFF4	7	7	2	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway;autoimmune_IBD	3	4	6	Adipose_Visceral_Omentum	0.00179	0.008055
CCNI2	7	7	2	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway;autoimmune_IBD	3	4	7	Cells_Cultured_fibroblasts	5.87e-08	1.5653333333333333e-07
CLEC16A	7	7	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__H8_MIDDLEMASTOID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	ENT_infection;asthma_lower_airway;atopic_allergic	5	2	7	Brain_Cerebellum;Liver	4.6e-10	9.2e-10
GDF9	7	7	2	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway;autoimmune_IBD	3	4	7	Prostate	5.24e-06	1.048e-05
HSPA4	7	7	2	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__AUTOIMMUNE_NONTHYROID;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway;autoimmune_IBD	3	4	6	Pituitary	0.00297	0.00891
ANKRD6	6	6	2	ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__H7_ALLERGICCONJUNCTIVITIS;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__L12_DERMATITISECZEMA	asthma_lower_airway;atopic_allergic	3	3	4	Adipose_Subcutaneous;Nerve_Tibial	0.000546	0.003224
CAPSL	6	6	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	ENT_infection;asthma_lower_airway;atopic_allergic	1	5	6	Cells_Cultured_fibroblasts	0.00132	0.00352
GLDC	6	6	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	ENT_infection;asthma_lower_airway	2	4	6	Lung;Thyroid	6.38e-06	1.914e-05
IL13	6	6	2	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway;autoimmune_IBD	2	4	6	Brain_Nucleus_accumbens_basal_ganglia	1.63e-11	6.52e-11
IL33	6	6	2	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__H8_SUP_ACUTE;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE	ENT_infection;asthma_lower_airway	2	4	6	Esophagus_Muscularis	1.12e-10	4.48e-10
KIF3A	6	6	2	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__K11_IBD_STRICT;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway;autoimmune_IBD	2	4	6	Skin_Sun_Exposed_Lower_leg	0.00385	0.0077
LRRC32	6	6	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__J10_ASTHMA_EXMORE;ALLERGIC_RHINITIS_GCST90038664__K11_CD_STRICT2;ALLERGIC_RHINITIS_GCST90038664__K11_IBD_STRICT;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	asthma_lower_airway;atopic_allergic;autoimmune_IBD	0	6	3	Whole_Blood	0.00696	0.00696
UGT3A1	6	6	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	ENT_infection;asthma_lower_airway;atopic_allergic	1	5	6	Testis	1.41e-05	5.64e-05
UGT3A2	6	6	3	ALLERGIC_RHINITIS_GCST90038664__ALLERG_ASTHMA;ALLERGIC_RHINITIS_GCST90038664__ASTHMA_EOSINOPHIL_SUGG;ALLERGIC_RHINITIS_GCST90038664__H7_ALLERGICCONJUNCTIVITIS;ALLERGIC_RHINITIS_GCST90038664__J10_CHRONTONSADEN;ALLERGIC_RHINITIS_GCST90038664__L12_ATOPIC;ALLERGIC_RHINITIS_GCST90038664__L12_DERMATITISECZEMA	ENT_infection;asthma_lower_airway;atopic_allergic	1	5	6	Spleen	0.000157	0.0002355
ACSL6	5	5	1	NASAL_POLYPS_GCST90018883__ALLERG_ASTHMA;NASAL_POLYPS_GCST90018883__ASTHMA_EOSINOPHIL_SUGG;NASAL_POLYPS_GCST90018883__J10_ASTHMA_EXMORE;NASAL_POLYPS_GCST90018883__J10_COPD;NASAL_POLYPS_GCST90018883__NONALLERG_ASTHMA_EXMORE	asthma_lower_airway	2	3	5	Pancreas	6.94e-08	2.082e-07
